speakers,date,start_time,stop_time,transcript
SPEAKER_01,2024-09-07,12:16:22,12:16:25,"you need to learn the boxing stance."
SPEAKER_01,2024-09-07,12:39:23,12:39:26,"Do you want to learn boxing?"
SPEAKER_00,2024-09-07,12:39:27,12:39:30,"Yes, please teach me from the fundamentals."
SPEAKER_01,2024-09-07,12:39:30,12:39:32,"Okay, first of all..."
SPEAKER_01,2024-09-07,12:39:32,12:39:35,"you need to learn the boxing stance."
SPEAKER_01,2024-10-01,14:14:18,14:14:21,"Do you want to learn boxing?"
SPEAKER_00,2024-10-01,14:14:22,14:14:24,"Yes, please teach me from the fundamentals."
SPEAKER_01,2024-10-01,14:14:25,14:14:27,"Okay, first of all..."
SPEAKER_01,2024-10-01,14:14:27,14:14:30,"you need to learn the boxing stance."
SPEAKER_01,2024-10-07,12:49:41,12:49:44,"Do you want to learn boxing?"
SPEAKER_00,2024-10-07,12:49:45,12:49:48,"Yes, please teach me from the fundamentals."
SPEAKER_01,2024-10-07,12:49:48,12:49:50,"Okay, first of all..."
SPEAKER_01,2024-10-07,12:49:50,12:49:53,"you need to learn the boxing stance."
